,,
何故なら,なぜなら,"because, the reason is"
敬語,けいご,honorific language
召し上がる,めしあがる,"to eat, drink (honorific)"
尊敬,そんけい,respect
工場,こうじょう,factory
通訳,つうやく,interpreter
特定,とくてい,specific
両方,りょうほう,"both, both sides"
父と母の両方,ちちとははのりょうほう,both my mom and dad
清掃員,せいそういん,"cleaner, janitor"
キャリア,,career
偉い,えらい,"excellent, admirable"
年子,としご,child born in consecutive years
性格,せいかく,personality
身長,しんちょう,height (of body)
助詞,じょし,particle
末っ子,すえっこ,youngest
楽,らく,comfort
